FECHA,EMISOR,MONEDA,TASA,TASA/MARGEN,PLAZO (en meses),VN,CALIFICACIÓN
19-dic-25,PSA Finance,ARS,TAMAR,"4,24%",12,"13788,00",A1+ (Fix SCR)
19-dic-25,PSA Finance,UVA,Fija,"8,89%",24,"12,10",AA (Fix SCR)
18-dic-25,EDEMSA,ARS,TAMAR,"6,50%",12,"22400,00",A2 (Fix SCR)
17-dic-25,IRSA – XXIV Adic,USD Int,Fija,"8,00%",111,"180,00",B- (Fitch)
17-dic-25,Rombo Cía. Financiera,ARS,Fija,"2,69%",12,"12214,00",A-1 (Moody’s)
15-dic-25,Arcor,ARS,TAMAR,"3,25%",12,"80000,00",A1+ (Fix SCR)
15-dic-25,YPF Luz,USD Mep,Fija,"6,75%",36,"45,00",AAA (Moody’s)
12-dic-25,CFN,ARS,TAMAR,"9,00%",12,"12295,00",A1 (Fix SCR)
11-dic-25,Volkswagen,ARS,TAMAR,"4,50%",12,"21142,00",A1+ (Fix SCR)
10-dic-25,Cresud,USD Mep,Fija,"7,25%",39,"29,60",AAA (Fix SCR)
10-dic-25,Laboratorios Richmond,ARS,TAMAR,"8,50%",12,"11120,00",A2 (Fix SCR)
10-dic-25,Vista Energy (Adicionales),USD Int,Fija,"8,50%",90,"400,00",BB- (Fitch)
9-dic-25,Nuevo Banco del Chaco,ARS,TAMAR,"8,00%",12,"40000,00",A2 (Fix SCR)
5-dic-25,BBVA,USD Mep,Fija,"5,75%",12,"50,00",A1+ (Fix SCR)
5-dic-25,Oleoductos del Valle,USD Mep,Fija,"7,50%",42,"115,50",AAA (Fix SCR)
4-dic-25,Capex,USD Mep,Fija,"8,25%",42,"70,90",AA (Fix SCR)
4-dic-25,Supervielle,USD Mep,Fija,"6,25%",12,"27,30",A-1 (Moody’s)
3-dic-25,CNH,USD Mep,Fija,"8,00%",30,"56,40",AA (Fix SCR)
2-dic-25,Genneia – Bono Verde,USD Int,Fija,"7,75%",96,"400,00",B– (S&P) / B2 (Moody’s)
2-dic-25,YPF,USD Mep,Fija,"7,00%",39,"194,90",AAA (Fix SCR) / AAA (Moody’s)
28-nov-25,Compañía General de Combustibles,USD Int,Fija,"11,88%",60,"300,00",CCC+ (Fix SCR)
28-nov-25,ICBC,ARS,TAMAR,"3,50%",12,"48760,00",A1+ (Fix SCR)
26-nov-25,Ciudad de Buenos Aires (Ley Inglaterra),USD Int,Fija,"7,80%",96,"600,00",Ba2 (Moody’s) / B- (S&P) / B- (Fitch)
26-nov-25,Tarjeta Naranja,ARS,TAMAR,"4,50%",12,"81764,00",A1+ (Fix SCR)
26-nov-25,Tarjeta Naranja,USD Mep,Fija,"6,50%",9,"90,10",A1+ (Fix SCR)
25-nov-25,Banco Provincia – Serie III,USD Mep,Fija,"6,50%",12,"26,10",A1+ (Fix SCR)
25-nov-25,Banco Provincia – Serie IV,ARS,TAMAR,"4,00%",12,"32302,00",A1+ (Fix SCR)
20-nov-25,BBVA,ARS,TAMAR,"3,50%",12,"43540,00",A1+ (Fix SCR)
20-nov-25,BBVA (Adicionales),ARS,TAMAR,"3,20%",7,"21676,00",A1+ (Fix SCR)
20-nov-25,Credicuotas Consumo,USD Mep,Fija,"7,00%",9,"12,30",A1 (Fix SCR)
20-nov-25,Credicuotas Consumo,ARS,TAMAR,"6,00%",12,"15331,00",A1 (Fix SCR)
20-nov-25,Hipotecario,USD Mep,Fija,"6,00%",12,"34,40",A1+ (Fix SCR)
20-nov-25,Hipotecario,ARS,TAMAR,"3,50%",12,"33784,00",A1+ (Fix SCR)
20-nov-25,Transportadora de Gas del Sur,USD Int,Fija,"7,75%",120,"500,00",B2 (Moody’s)
19-nov-25,Edenor,USD Int,Fija,"9,75%",59,"201,20",B- (Fitch) / B3 (Moody’s) / B- (S&P)
18-nov-25,Pluspetrol,USD Int,Fija,"8,13%",66,"500,00",BB (Fitch) / B1 (Moody’s)
17-nov-25,Provincia de Mendoza 1 Adic.,ARS,TAMAR,"4,75%",7,"43986,00",A- (Moody’s)
17-nov-25,Provincia de Mendoza 2 Adic.,ARS,TAMAR,"5,50%",13,"54807,00",A- (Moody’s)
14-nov-25,BACS Banco de Crédito y Securit.,ARS,TAMAR,"4,50%",12,"30022,00",A1+ (Fix SCR)
14-nov-25,Banco de Galicia,USD Mep,Fija,"6,00%",13,"144,30",A-1 (Moody’s)
14-nov-25,Pampa Energía,USD Int,Fija,"7,75%",144,"450,00",B- (S&P) / B (Fitch)
13-nov-25,Banco Patagonia,USD Mep,Fija,"6,25%",12,"47,20",A-1 (Moody’s)
13-nov-25,Municipalidad de Córdoba,ARS,TAMAR,"5,50%",15,"70000,00",A (Moody’s)
11-nov-25,Mirgor,USD Mep,Fija,"8,50%",12,"20,00",A-1 (Moody’s)
7-nov-25,Banco Comafi,USD Mep,Fija,"6,50%",12,"38,00",A1+ (Fix SCR)
5-nov-25,YPF,USD Int,Fija,"8,75%",51,"500,00",B- (S&P) / B2 (Moody’s)
3-nov-25,Tecpetrol,USD Int,Fija,"7,62%",61,"750,00",BB- (Fitch) / B1 (Moody’s)
23-oct-25,Banco de Servicios y Transacciones,USD Mep,Fija,"8,00%",12,"21,10",A1 (Fix SCR)
23-oct-25,John Deere,USD Mep,Fija,"7,50%",18,"26,20",AA (Fix SCR)
23-oct-25,Otamerica Ebytem – V,USD Mep,Fija,"6,69%",12,"50,00",A-1 (Moody’s)
20-oct-25,Mercado Pago (Adicionales),USD Mep,Fija,"4,98%",7,"46,10",A1+ (Fix SCR) / A-1 (Moody’s)
17-oct-25,Pan American Energy,USD Mep,Fija,"6,00%",18,"56,10",AAA (Fix SCR)
16-oct-25,Tecpetrol,USD Mep,Fija,"6,50%",23,"114,50",AAA (Fix SCR)
15-oct-25,Vista Energy,USD Mep,Fija,"6,00%",18,"73,30",AAA (Moody’s) / AAA (Fix SCR)
8-oct-25,Banco Mariva,USD Linked,Fija,"0,00%",6,"10,20",A-1 (Moody’s)
8-oct-25,YPF,USD Mep,Fija,"6,00%",15,"99,00",AAA (Moody’s) / AAA (Fix SCR)
6-oct-25,Arcor,USD Mep,Fija,"5,90%",12,"100,00",A-1 (Moody’s)
6-oct-25,Mercado Pago,USD Mep,Fija,"4,98%",8,"50,90",A-1 (Moody’s) / A1+ (Fix SCR)
3-oct-25,Inversora Juramento,USD Mep,Fija,"9,00%",24,"30,00",A- (Fix SCR)
3-oct-25,YPF Luz,USD Mep,Fija,"6,00%",12,"79,90",A-1 (Moody’s)
4-sep-25,Banco de Valores,USD Mep,Fija,"7,75%",12,"15,00",A-1 (Moody’s)
4-sep-25,Credicuotas Consumo,ARS,TAMAR,"9,50%",9,"14545,00",A1 (Fix SCR)
4-sep-25,Credicuotas Consumo,USD Mep,Fija,"8,00%",9,"16,40",A1 (Fix SCR)
2-sep-25,Scania Credit,USD Mep,Fija,"8,75%",24,"28,70",AA (Fix SCR)
1-sep-25,Plaza Logística,USD Mep,Fija,"8,50%",24,"21,80",AA (Fix SCR)
28-ago-25,Banco CMF,USD Mep,Fija,"6,50%",12,"21,80",A1 (Fix SCR)
28-ago-25,CRESUD,USD Mep,Fija,"7,25%",24,"31,30",AAA (Fix SCR)
26-ago-25,Tarjeta Naranja,USD Mep,Fija,"7,40%",9,"95,70",A1+ (Fix SCR)
26-ago-25,Tarjeta Naranja,ARS,TAMAR,"9,00%",9,"59968,00",A1+ (Fix SCR)
26-ago-25,YPF,USD Mep,Fija,"7,50%",36,"51,40",AAA (Moody´s) / AAA (Fix SCR)
26-ago-25,YPF,USD Cable,Fija,"8,75%",48,"57,60",AAA (Moody´s) / AAA (Fix SCR)
25-ago-25,Banco Supervielle,USD Mep,Fija,"6,75%",12,"16,30",A-1 (Moody´s)
25-ago-25,Banco Supervielle,USD Mep,Fija,"8,00%",24,"5,00",AA+
25-ago-25,Pan American Energy,USD Mep,Fija,"7,50%",42,"85,90",AAA (Moody´s)
21-ago-25,Central Puerto,USD Cable,Fija,"8,00%",42,"50,00",AA (Fix SCR)
20-ago-25,Banco Hipotecario,USD Mep,Fija,"7,00%",12,"30,80",A-1 (Moody’s)
20-ago-25,Banco Provincia de Córdoba – I,ARS,TAMAR,"3,00%",10,"26094,00",A+1 (Fix SCR) / A-1 (Moody’s)
20-ago-25,Banco Provincia de Córdoba – II,USD Mep,Fija,"7,00%",12,"13,30",A+1 (Fix SCR) / A-1 (Moody’s)
20-ago-25,CFN,ARS,TAMAR,"9,00%",10,"25688,00",A1 (Fix SCR)
19-ago-25,BBVA,USD Mep,Fija,"6,00%",12,"43,40",A1+ (Fix SCR)
19-ago-25,Banco Comafi,USD Mep,Fija,"6,75%",12,"25,40",A1+ (Fix SCR)
12-ago-25,Banco de Galicia,USD Mep,Fija,"6,25%",12,"110,90",A1 (Moody’s)
6-ago-25,Edenor,USD Cable,Fija,"8,50%",12,"80,00",A1 (Fix SCR)
6-ago-25,Edenor,ARS,Tamar,"6,00%",12,"200000,00",A1 (Fix SCR)
30-jul-25,Banco Macro (Adicionales),USD Int,Fija,"8,00%",46,"130,00",Caa1 (Moody’s) / CCC+ (Fitch)
30-jul-25,Pampa Energía,USD Cable,Fija,"7,25%",36,"104,60",AAA (Fix SCR)
24-jul-25,Telecom,USD Int,Fija,"9,25%",94,"200,00",B/RR3 (Fitch Ratings)
23-jul-25,Arcor,USD Int,Fija,"7,60%",96,"350,00",B+ (Fitch Ratings)
22-jul-25,John Deere,USD Mep,Fija,"8,50%",24,"28,50",AA (Fix SCR)
22-jul-25,Loma Negra,USD Cable,Fija,"8,00%",24,"112,90",AAA (Fix SCR)
21-jul-25,Distribuidora de Electricidad de Mendoza S.A.,USD Int,Fija,"10,75%",72,"150,00",B- (Fitch Ratings)
17-jul-25,Telecom,ARS,Tamar,"4,00%",12,"57962,00",A1+
17-jul-25,YPF,USD Mep,Fija,"7,50%",36,"250,00",AAA (Fix SCR / Moody’s)
17-jul-25,YPF,USD Cable,Fija,"8,75%",60,"167,20",AAA (Fix SCR / Moody’s)
16-jul-25,Mercado Pago,ARS,Tamar,"2,85%",12,"51047,00",A1+ (Fix SCR)
16-jul-25,Petroquímica Comodoro Rivadavia S.A.,USD Mep,Fija,"8,50%",36,"38,90",AA (Fix SCR)
10-jul-25,Crown Point Energía S.A.,USD Linked,Fija,"13,00%",24,"25,00",BBB
